player,dismissal,runs,balls,minutes,4s,6s,strike_rate
Chamika Karunaratne,lbw,2,11,12,0,0,18.18
Maheesh Theekshana,lbw,0,5,7,0,0,0
Lahiru Kumara,b,4,8,6,1,0,50
Dilshan Madushanka,not,0,6,12,0,0,0
Rahmanullah Gurbaz,c,47,62,112,4,1,75.8
Ibrahim Zadran,c,22,25,41,3,1,88
Rahmat Shah,c,18,25,30,1,0,72
Hashmatullah Shahidi,c,18,38,34,2,0,47.36
Najibullah Zadran,b,5,13,16,0,0,38.46
Mohammad Nabi,b,6,12,19,0,0,50
Azmatullah Omarzai,b,22,20,32,4,0,110
Rashid Khan,b,9,16,16,1,0,56.25
Mujeeb Ur Rahman,b,1,4,9,0,0,25
Naveen-ul-Haq,c,0,6,8,0,0,0
Fazalhaq Farooqi,not,0,3,3,0,0,0
David Warner,c,41,52,76,6,0,78.84
Mitchell Marsh,c,0,6,11,0,0,0
Steven Smith,b,46,71,112,5,0,64.78
Marnus Labuschagne,c,27,41,58,1,0,65.85
Glenn Maxwell,b,15,25,44,1,0,60
Alex Carey,lbw,0,2,1,0,0,0
Cameron Green,c,8,20,31,0,0,40
Pat Cummins,c,15,24,26,1,1,62.5
Mitchell Starc,c,28,35,58,2,1,80
Adam Zampa,c,6,20,28,0,0,30
Josh Hazlewood,not,1,1,6,0,0,100
Travis Head,c,11,10,8,1,0,110
David Warner,c,15,16,29,1,1,93.75
Steven Smith,c,44,52,85,3,0,84.61
Marnus Labuschagne,lbw,71,83,111,7,0,85.54
Josh Inglis,c,3,6,5,0,0,50
Cameron Green,b,47,52,81,5,0,90.38
Marcus Stoinis,c,35,32,53,3,2,109.37
Pat Cummins,c,10,13,17,1,0,76.92
Mitchell Starc,c,10,13,30,0,0,76.92
Adam Zampa,c,29,19,23,4,0,152.63
Josh Hazlewood,not,1,1,1,0,0,100
Tanzid Hasan,c,36,34,55,6,0,105.88
Litton Das,c,36,45,76,5,0,80
Najmul Hossain Shanto,run,45,57,59,6,0,78.94
Towhid Hridoy,c,74,79,121,5,2,93.67
Mahmudullah,run,32,28,34,1,3,114.28
Mushfiqur Rahim,c,21,24,27,0,1,87.5
Mehidy Hasan Miraz,c,29,20,33,4,0,145
Nasum Ahmed,run,7,11,15,0,0,63.63
Mahedi Hasan,not,2,3,4,0,0,66.66
